word,level
adolescente,A2
preparar una factura,A2
ir de vacaciones,A2
memorizar una regla,A2
enviar una postal,A2
pedir el menú,A2
cambiarse de casa,A2
subir,A2
aprobar,A2
llevar una vida sana,A2
lluvia,A2
música moderna,A2
jamón York,A2
repasar una lección,A2
consultar un plano,A2
amueblado,A2
sentirse mal,A2
política,A2
tener hambre,A2
responder un fax,A2
rosa,A2
lata de atún,A2
arquitecto,A2
sentirse bien,A2
fábrica,A2
PC,A2
tarta de crema,A2
tranquilo,A2
kilo de patatas,A2
bote de mermelada,A2
aprender una regla,A2
hablar por teléfono,A2
región,A2
gorro,A2
lechuga,A2
vivir con la pareja,A2
tocar,A2
jamón serrano,A2
ganar dinero,A2
hacer fotocopias,A2
tomar un taxi,A2
urgencias,A2
jugar a la oca,A2
separarse,A2
ver una exposición,A2
palacio,A2
Noroeste,A2
oído,A2
guitarra,A2
estar nervioso,A2
ponerse,A2
cereales,A2
lata de tomate,A2
entrevista,A2
agradable,A2
biblioteca municipal,A2
margarita,A2
caballo,A2
lavaplatos,A2
reservar un billete de autobús,A2
Ayuntamiento,A2
estanco,A2
piloto,A2
cajero automático,A2
sexo,A2
tener dolor de estómago,A2
azúcar,A2
pobre,A2
jugar al ajedrez,A2
crecer,A2
Historia,A2
ver,A2
cocina,A2
un cuarto de kilo,A2
mochila,A2
bote de tomate,A2
ciudad moderna,A2
naranja,A2
buscar piso,A2
escribir el currículum,A2
egoísta,A2
tiempo libre,A2
mirar un mapa,A2
atún,A2
ciudad antigua,A2
paraguas,A2
pedir la carta,A2
pintor,A2
oír,A2
viajar en avión,A2
piso de estudiantes,A2
violín,A2
cocinar,A2
hacer errores,A2
informático,A2
dirección de Internet,A2
arte,A2
ir de compras,A2
Medicina,A2
diploma,A2
panadero,A2
plato combinado,A2
tener un seguro de viaje,A2
foro de discusión,A2
cara,A2
música clásica,A2
hacer deporte,A2
montar en bicicleta,A2
hablar con clientes,A2
artista,A2
pañuelo,A2
optimista,A2
recibir un mensaje electrónico,A2
visitar,A2
cebolla,A2
Derecho,A2
Matemáticas,A2
presentarse,A2
educación,A2
prefijo,A2
peluquería,A2
restaurante vegetariano,A2
llevar una gorra,A2
tener gripe,A2
taza,A2
zumo de naranja,A2
vaca,A2
abierto,A2
recibir una postal,A2
estómago,A2
estar triste,A2
tormenta,A2
encantar,A2
gimnasio,A2
helado de chocolate,A2
cocinero,A2
pez,A2
cocina eléctrica,A2
vivir juntos,A2
mano,A2
lata,A2
estar enfadado,A2
sentarse,A2
deshacer las maletas,A2
científico,A2
tomate,A2
champú,A2
ciudad abierta,A2
tener una cita,A2
estrella,A2
champán,A2
garganta,A2
peinarse,A2
bebé,A2
piano,A2
enviar un mensaje electrónico,A2
memorizar una fórmula,A2
viento del sur,A2
preguntar,A2
bufanda,A2
foro,A2
contestar al teléfono,A2
recibir una carta,A2
gobierno,A2
tocar un instrumento,A2
rico,A2
doscientos. gramos,A2
escuela de idiomas,A2
practicar un deporte,A2
moneda,A2
repasar un ejercicio,A2
tomar una sopa,A2
helado de vainilla,A2
Seguridad Social,A2
agenda,A2
poesía,A2
tomar el avión,A2
tener una reunión,A2
llevar salsa,A2
fax,A2
aprender una fórmula,A2
biblioteca pública,A2
calle,A2
limpiar la casa,A2
pimienta,A2
hacer ejercicio,A2
chalé,A2
toalla,A2
traer la cuenta,A2
responder a un correo,A2
traje,A2
librería,A2
llevar corto,A2
propietario,A2
aperitivo,A2
navegar por Internet,A2
sujetador,A2
paquete de harina,A2
receta,A2
llevar arroz,A2
despacho,A2
tango,A2
enviar un correo electrónico,A2
papelería,A2
nube,A2
primer ministro,A2
mirar un plano,A2
colegio,A2
bajar,A2
colonia,A2
barrio,A2
tener fiebre,A2
escuchar un programa de radio,A2
tienda de de regalos,A2
con IVA,A2
pedir la cuenta,A2
alumno de la escuela,A2
rock,A2
ballet,B1
novelista,B1
poner una película,B1
